roi_set	roi	test	kind	t	p	dz	n	p_holm
urpe	Inferior parietal lobule R	urpe vs surprise	paired	4.480438147649058	3.637814754689454e-05	0.5883103508164208	58	0.0017097729347040434
urpe	Inferior parietal lobule R	rpe vs surprise	paired	3.89530713728162	0.00026008139507017526	0.5114788850894672	58	0.008590033284606616
urpe	Inferior parietal lobule R	rpe vs neg_urpe	paired	6.29302837327502	4.742421352818481e-08	0.8263151075797655	58	3.6516644416702307e-06
urpe	Inferior parietal lobule R	surprise vs neg_urpe	paired	4.270281124210954	7.475643100782908e-05	0.5607153817283462	58	0.002840744378297505
urpe	Inferior parietal lobule R	urpe vs neg_urpe	paired	4.850167730052039	9.91983434164755e-06	0.636858223404471	58	0.000514510271752002
urpe	Insula L	rpe vs 0	onesample	-0.26308033497491573	0.7934373063869332	-0.034544140341097096	58	1.0
urpe	Insula L	urpe vs 0	onesample	5.394693636105873	1.3761932324858448e-06	0.7083579777281084	58	4.541437667203288e-05
urpe	Insula L	surprise vs 0	onesample	-0.1960263798411325	0.8452867080967479	-0.025739524683344134	58	1.0
urpe	Insula L	urpe vs rpe	paired	2.944390104470318	0.00467631960935051	0.3866173615654633	58	0.09820271179636071
urpe	Insula L	urpe vs surprise	paired	4.327761470519847	6.147743874257535e-05	0.5682629209617085	58	0.0023976201109604384
urpe	Insula L	rpe vs surprise	paired	-0.20323760854698913	0.8396731139546427	-0.026686405401245807	58	1.0
urpe	Insula L	rpe vs neg_urpe	paired	3.6174012216767664	0.0006321416941921863	0.4749880506407787	58	0.01896425082576559
urpe	Insula L	surprise vs neg_urpe	paired	5.958496021217688	1.6819581518642366e-07	0.7823888577549444	58	1.2278294508608927e-05
urpe	Insula L	urpe vs neg_urpe	paired	5.394693636105873	1.3761932324858448e-06	0.7083579777281084	58	8.394778718163654e-05
urpe	Middle frontal gyrus R	rpe vs 0	onesample	1.9342381416364292	0.05805346315256736	0.2539779106794983	58	0.9869088735936451
urpe	Middle frontal gyrus R	urpe vs 0	onesample	6.8250048854002365	6.2233641444911715e-09	0.8961670457520845	58	2.738280223576115e-07
urpe	Middle frontal gyrus R	surprise vs 0	onesample	0.01928297736206002	0.9846827054252156	0.002531978972326884	58	1.0
urpe	Middle frontal gyrus R	urpe vs rpe	paired	2.444915486075239	0.017602650785134163	0.32103313112003434	58	0.26629541629927816
urpe	Middle frontal gyrus R	urpe vs surprise	paired	6.457097248997836	2.5397146580196048e-08	0.8478584063942337	58	2.05716887299588e-06
urpe	Middle frontal gyrus R	rpe vs surprise	paired	1.6188175531611702	0.11100716831845903	0.21256115835629757	58	0.8880573465476722
urpe	Middle frontal gyrus R	rpe vs neg_urpe	paired	6.04997694736988	1.1911139788263784e-07	0.7944008918426924	58	8.933354841197838e-06
urpe	Middle frontal gyrus R	surprise vs neg_urpe	paired	5.542729377297493	7.962320153202713e-07	0.7277960228397251	58	5.25513130111379e-05
urpe	Middle frontal gyrus R	urpe vs neg_urpe	paired	6.8250048854002365	6.2233641444911715e-09	0.8961670457520845	58	5.47656044715223e-07
urpe	Orbital IFG R	rpe vs 0	onesample	-0.76007075081932	0.4503447526812925	-0.09980217901109595	58	1.0
urpe	Orbital IFG R	urpe vs 0	onesample	5.44126525164051	1.1590360465948862e-06	0.714473130436476	58	4.1725297677415904e-05
urpe	Orbital IFG R	surprise vs 0	onesample	1.128320280988853	0.26391150652559586	0.1481557112199261	58	1.0
urpe	Orbital IFG R	urpe vs rpe	paired	3.2295149011022954	0.0020597178135557392	0.4240560815310621	58	0.05149294533889348
urpe	Orbital IFG R	urpe vs surprise	paired	4.432325599516327	4.295351575356315e-05	0.5819928637453201	58	0.0018470011774032154
urpe	Orbital IFG R	rpe vs surprise	paired	-1.1550306528028347	0.2528970523191479	-0.15166295486317694	58	1.0
urpe	Orbital IFG R	rpe vs neg_urpe	paired	3.821711577850372	0.000330083100570778	0.5018153147062343	58	0.010232576117694119
urpe	Orbital IFG R	surprise vs neg_urpe	paired	4.95961298780675	6.705185540631439e-06	0.6512290897936549	58	0.00035537483365346624
urpe	Orbital IFG R	urpe vs neg_urpe	paired	5.44126525164051	1.1590360465948862e-06	0.714473130436476	58	7.262508138158026e-05
urpe	Superior frontal sulcus R	rpe vs 0	onesample	-1.5549921473709207	0.12548328947900006	-0.2041804719961556	58	1.0
urpe	Superior frontal sulcus R	urpe vs 0	onesample	5.595680313806169	6.54110521618089e-07	0.734748821429261	58	2.4202089299869294e-05
urpe	Superior frontal sulcus R	surprise vs 0	onesample	1.5541014146664944	0.1256955279782486	0.2040635130621059	58	1.0
urpe	Superior frontal sulcus R	urpe vs rpe	paired	4.057129848855473	0.0001528357992293821	0.5327272481019175	58	0.005502088772257756
