Unnamed: 0,trialNumber,runNumber,visualSet,audioSet,visual,audio,combinationConditionalProbability,correctResponse,chosenKey,accurate,reward,startTime,stimulusOnsetTime,stimulusOffsetTime,responsePressTime,responseTime,feedbackOnsetTime,feedbackOffsetTime,responseTimeThreshold,totalAccuracy,totalErrorRate,accurateIndex,inaccurateIndex,participantID,stimulusPair
81,22,2,1,0,0,0,0.5,1,0,0,1,121.0162889,121.6948871,123.6385637,123.6384889,1.94360180000012,125.7554391,126.7696972,3.5,0.681818181818182,0.318181818181818,16,7,0,"(0, 0)"
82,23,2,1,0,0,2,0.35,0,0,1,1,126.7769516,127.4806685,129.3449474,129.3448691,1.8642006,131.4616703,132.4765877,3.5,0.695652173913043,0.304347826086957,16,8,0,"(0, 2)"
83,24,2,1,0,1,2,0.5,1,1,1,1,132.4822582,133.1642671,134.7178093,134.3026816,1.13841450000018,136.8473381,137.8610375,3.5,0.708333333333333,0.291666666666667,17,8,0,"(1, 2)"
84,25,2,1,0,0,0,0.5,1,0,0,0,137.8756207,138.5614105,140.3700915,140.3700148,1.80860430000007,142.486858,143.5228956,3.5,0.68,0.32,18,8,0,"(0, 0)"
85,26,2,1,0,1,1,0.35,0,0,1,1,143.5294316,144.2289875,145.7849966,145.1987344,0.969746900000018,147.8991115,148.9163752,3.5,0.692307692307692,0.307692307692308,18,9,0,"(1, 1)"
86,27,2,1,0,0,0,0.5,1,1,1,1,148.9228627,149.6294903,151.2369181,151.2368385,1.60734819999993,153.3703272,154.4064277,3.5,0.703703703703704,0.296296296296296,19,9,0,"(0, 0)"
87,28,2,1,0,0,2,0.35,0,0,1,1,154.4130787,155.1154044,156.6795317,156.1988575,1.08345310000004,158.7849462,159.7983415,3.5,0.714285714285714,0.285714285714286,20,9,0,"(0, 2)"
88,29,2,1,0,0,0,0.5,1,0,0,0,159.804088,160.5101307,162.5990729,162.5989974,2.08886670000015,164.7158156,165.7300951,3.5,0.689655172413793,0.310344827586207,21,9,0,"(0, 0)"
89,30,2,1,0,2,2,0.15,0,1,0,1,165.7357274,166.4449488,168.0210969,167.8066964,1.36174759999994,170.1528635,171.1733965,3.5,0.666666666666667,0.333333333333333,21,10,0,"(2, 2)"
90,31,2,1,0,1,0,0.15,0,0,1,1,171.1790545,171.8883936,173.6856,173.6855222,1.79712860000018,175.8024513,176.8384355,3.5,0.67741935483871,0.32258064516129,21,11,0,"(1, 0)"
91,32,2,1,0,0,1,0.15,0,0,1,1,176.8528621,177.552082,179.3546947,179.3546142,1.80253219999986,181.4714236,182.4857929,3.5,0.6875,0.3125,22,11,0,"(0, 1)"
92,33,2,1,0,2,1,0.5,1,1,1,0,182.491372,183.199795,184.7735293,184.2308342,1.03103920000012,186.8871374,187.9200517,3.5,0.696969696969697,0.303030303030303,23,11,0,"(2, 1)"
93,34,2,1,0,0,1,0.15,0,0,1,1,187.9268333,188.6321066,191.4063771,191.4062997,2.77419310000005,193.5232442,194.5374956,3.5,0.705882352941177,0.294117647058823,24,11,0,"(0, 1)"
94,35,2,1,0,2,1,0.5,1,1,1,1,194.5433198,195.2519438,197.0447591,197.044681,1.79273719999992,199.1616455,200.1758482,3.5,0.714285714285714,0.285714285714286,25,11,0,"(2, 1)"
95,36,2,1,0,1,2,0.5,1,1,1,1,200.1821965,200.8924775,202.7738219,202.773743,1.88126549999993,204.8905144,205.9048498,3.5,0.722222222222222,0.277777777777778,26,11,0,"(1, 2)"
96,37,2,1,0,2,0,0.35,0,0,1,1,205.9112091,206.6155477,209.1625717,209.1624944,2.54694670000003,211.27933,212.2935718,3.5,0.72972972972973,0.27027027027027,27,11,0,"(2, 0)"
97,38,2,1,0,1,0,0.15,0,0,1,0,212.3081896,212.9945401,215.3217179,215.3216398,2.32709969999996,217.4384328,218.4529214,3.5,0.736842105263158,0.263157894736842,28,11,0,"(1, 0)"
98,39,2,1,0,1,2,0.5,1,1,1,0,218.4585668,219.1379656,221.0179413,221.0178631,1.87989749999997,223.134669,224.1489315,3.5,0.743589743589744,0.256410256410256,29,11,0,"(1, 2)"
99,40,2,1,0,2,2,0.15,0,1,0,1,224.1564239,224.8634089,227.0125417,227.0124663,2.14905740000017,229.1293728,230.143634,3.5,0.725,0.275,30,11,0,"(2, 2)"
100,41,2,1,0,0,0,0.5,1,1,1,1,230.1509579,230.8550994,232.5343886,232.5343107,1.67921130000013,234.6511015,235.6888516,3.5,0.731707317073171,0.268292682926829,30,12,0,"(0, 0)"
101,42,2,1,0,1,1,0.35,0,0,1,1,235.6945818,236.3955838,238.1245707,238.1244927,1.72890889999985,240.2413062,241.2561174,3.5,0.738095238095238,0.261904761904762,31,12,0,"(1, 1)"
102,43,2,1,0,1,0,0.15,0,0,1,0,241.2617339,241.9417619,243.7558659,243.7557888,1.81402690000004,245.8726411,246.8870015,3.5,0.744186046511628,0.255813953488372,32,12,0,"(1, 0)"
103,44,2,1,0,2,1,0.5,1,1,1,0,246.9013569,247.5888405,249.1573085,248.7108296,1.12198910000006,251.2892807,252.3099976,3.5,0.75,0.25,33,12,0,"(2, 1)"
104,45,2,1,0,1,2,0.5,1,1,1,1,252.3163829,253.0199489,254.5875288,254.3908249,1.37087599999995,256.7139533,257.7263761,3.5,0.755555555555556,0.244444444444444,34,12,0,"(1, 2)"
105,46,2,1,0,1,1,0.35,0,0,1,1,257.7328725,258.4485062,260.1862848,260.1862061,1.73769990000005,262.3031139,263.3418362,3.5,0.760869565217391,0.239130434782609,35,12,0,"(1, 1)"
